"Tool"	"Unlab_ref"	"Unlab_pred"	"Unlab_delta"	"Exact_match_prop"	"Mean_partial_match"	"Med_F1"	"Accuracy"	"CL_similarity"	"Combined_score"	"Exact_match_prop_pval"	"Mean_partial_match_pval"	"Med_F1_pval"	"Accuracy_pval"	"CL_similarity_pval"
"1"	"TOOL"	0.009	0	0.009	0.239	0.29	0.203	0.241	0.993	2.716	0.6	0.6	0.4	0.6	0
"2"	"TOOL1"	0.009	0	0.009	0.239	0.285	0.237	0.241	0.993	2.745	0.6	0.6	0.4	0.6	0
